2021-02-18 04:40:18.917526+00,2021-02-18 04:40:18.917561+00,,1,Pekerjaan,pekerjaan
2021-02-18 04:40:40.78752+00,2021-02-18 04:40:40.787538+00,,2,Pendidikan,pendidikan
2021-02-18 04:42:04.569353+00,2021-02-18 04:42:04.569381+00,,3,Keamanan,keamanan
2021-02-18 04:42:41.818438+00,2021-02-18 04:42:41.818459+00,,4,Kesehatan,kesehatan
2021-02-18 04:43:05.64688+00,2021-02-18 04:43:05.646899+00,,5,Perumahan,perumahan
2021-02-18 04:43:32.557316+00,2021-02-18 04:43:32.557347+00,,6,Keluarga,keluarga
2021-02-18 04:44:00.368299+00,2021-02-18 04:44:00.368335+00,,7,Lainnya,lainnya
