2021-02-18 07:47:18.677117+00,2021-02-18 07:47:18.67715+00,,1,Numpang KK,numpang_kk,1,,
2021-02-18 07:47:47.269708+00,2021-02-18 07:47:47.269726+00,,2,Membuat KK Baru,membuat_kk_baru,1,,
2021-02-18 07:48:30.68966+00,2021-02-18 07:48:30.689678+00,,3,Tidak Ada Anggota Keluarga Yang Ditinggal,tidak_ada_anggota_keluarga_yang _ditinggal,1,,
2021-02-18 07:49:14.632566+00,2021-02-18 07:49:14.632588+00,,4,Nomor KK Tetap,nomor_kk_tetap,1,,
