1104031,2020-12-16 00:06:01.131002+00,2020-12-16 00:06:01.131014+00,,,BUKIT TUSAM,,,1104,
1104032,2020-12-16 00:06:01.13324+00,2020-12-16 00:06:01.133253+00,,,LAWE SUMUR,,,1104,
1104040,2020-12-16 00:06:01.135442+00,2020-12-16 00:06:01.135455+00,,,BABUSSALAM,,,1104,
1104041,2020-12-16 00:06:01.137591+00,2020-12-16 00:06:01.137603+00,,,LAWE BULAN,,,1104,
1104050,2020-12-16 00:06:01.140035+00,2020-12-16 00:06:01.140048+00,,,BADAR,,,1104,
1104051,2020-12-16 00:06:01.142518+00,2020-12-16 00:06:01.142531+00,,,DARUL HASANAH,,,1104,
1104052,2020-12-16 00:06:01.145001+00,2020-12-16 00:06:01.145014+00,,,KETAMBE,,,1104,
1104053,2020-12-16 00:06:01.147454+00,2020-12-16 00:06:01.147468+00,,,DELENG POKHKISEN,,,1104,
1105080,2020-12-16 00:06:01.14994+00,2020-12-16 00:06:01.149953+00,,,SERBA JADI,,,1105,
1105081,2020-12-16 00:06:01.152256+00,2020-12-16 00:06:01.152268+00,,,SIMPANG JERNIH,,,1105,
1105082,2020-12-16 00:06:01.154399+00,2020-12-16 00:06:01.154412+00,,,PEUNARON,,,1105,
1105090,2020-12-16 00:06:01.156582+00,2020-12-16 00:06:01.156593+00,,,BIREM BAYEUN,,,1105,
1105100,2020-12-16 00:06:01.158562+00,2020-12-16 00:06:01.158606+00,,,RANTAU SELAMAT,,,1105,
1105101,2020-12-16 00:06:01.160988+00,2020-12-16 00:06:01.161001+00,,,SUNGAI RAYA,,,1105,
1105110,2020-12-16 00:06:01.163243+00,2020-12-16 00:06:01.163257+00,,,PEUREULAK,,,1105,
1105111,2020-12-16 00:06:01.165466+00,2020-12-16 00:06:01.165479+00,,,PEUREULAK TIMUR,,,1105,
1105112,2020-12-16 00:06:01.167586+00,2020-12-16 00:06:01.167599+00,,,PEUREULAK BARAT,,,1105,
1105120,2020-12-16 00:06:01.170104+00,2020-12-16 00:06:01.170117+00,,,RANTO PEUREULAK,,,1105,
1105130,2020-12-16 00:06:01.172595+00,2020-12-16 00:06:01.172608+00,,,IDI RAYEUK,,,1105,
1105131,2020-12-16 00:06:01.174891+00,2020-12-16 00:06:01.174904+00,,,PEUDAWA,,,1105,
1105132,2020-12-16 00:06:01.177412+00,2020-12-16 00:06:01.177426+00,,,BANDA ALAM,,,1105,
1105133,2020-12-16 00:06:01.179892+00,2020-12-16 00:06:01.179907+00,,,IDI TUNONG,,,1105,
1105134,2020-12-16 00:06:01.182157+00,2020-12-16 00:06:01.18217+00,,,DARUL IHSAN,,,1105,
1105135,2020-12-16 00:06:01.184295+00,2020-12-16 00:06:01.184307+00,,,IDI TIMUR,,,1105,
1105140,2020-12-16 00:06:01.186521+00,2020-12-16 00:06:01.186533+00,,,DARUL AMAN,,,1105,
1105150,2020-12-16 00:06:01.189631+00,2020-12-16 00:06:01.189663+00,,,NURUSSALAM,,,1105,
1105151,2020-12-16 00:06:01.19288+00,2020-12-16 00:06:01.192914+00,,,DARUL FALAH,,,1105,
1105160,2020-12-16 00:06:01.2001+00,2020-12-16 00:06:01.200133+00,,,JULOK,,,1105,
1105161,2020-12-16 00:06:01.206006+00,2020-12-16 00:06:01.206067+00,,,INDRA MAKMUR,,,1105,
1105170,2020-12-16 00:06:01.210505+00,2020-12-16 00:06:01.210548+00,,,PANTE BIDARI,,,1105,
1105180,2020-12-16 00:06:01.214967+00,2020-12-16 00:06:01.214982+00,,,SIMPANG ULIM,,,1105,
1105181,2020-12-16 00:06:01.217959+00,2020-12-16 00:06:01.217973+00,,,MADAT,,,1105,
