2021-02-18 07:34:21.553006+00,2021-02-18 07:34:21.553024+00,,1,Dalam Satu Desa/Kelurahan,dlm_satu_desa_kelurahan,1,,
2021-02-18 07:34:40.93858+00,2021-02-18 07:34:40.938597+00,,2,Antar Desa/Kelurahan,antar_desa_kelurahan,1,,
2021-02-18 07:35:09.153572+00,2021-02-18 07:35:09.153591+00,,3,Antar Kecamatan,antar_kecamatan,1,,
2021-02-18 07:35:34.212996+00,2021-02-18 07:35:34.213016+00,,4,Antar Kabupaten/Kota,antar_kab_kota,1,,
2021-02-18 07:36:15.749285+00,2021-02-18 07:36:15.749303+00,,5,Antar Provinsi,antar_provinsi,1,,
