1222,2020-12-16 00:01:31.82048+00,2020-12-16 00:01:31.820495+00,,0,KABUPATEN LABUHAN BATU SELATAN,,,12,
1223,2020-12-16 00:01:31.822914+00,2020-12-16 00:01:31.822929+00,,0,KABUPATEN LABUHAN BATU UTARA,,,12,
1224,2020-12-16 00:01:31.82542+00,2020-12-16 00:01:31.825435+00,,0,KABUPATEN NIAS UTARA,,,12,
1225,2020-12-16 00:01:31.827965+00,2020-12-16 00:01:31.827979+00,,0,KABUPATEN NIAS BARAT,,,12,
1271,2020-12-16 00:01:31.830443+00,2020-12-16 00:01:31.830465+00,,0,KOTA SIBOLGA,,,12,
1272,2020-12-16 00:01:31.832949+00,2020-12-16 00:01:31.832964+00,,0,KOTA TANJUNG BALAI,,,12,
1273,2020-12-16 00:01:31.835674+00,2020-12-16 00:01:31.83569+00,,0,KOTA PEMATANG SIANTAR,,,12,
1274,2020-12-16 00:01:31.83827+00,2020-12-16 00:01:31.838285+00,,0,KOTA TEBING TINGGI,,,12,
1275,2020-12-16 00:01:31.840828+00,2020-12-16 00:01:31.840843+00,,0,KOTA MEDAN,,,12,
1276,2020-12-16 00:01:31.843473+00,2020-12-16 00:01:31.843488+00,,0,KOTA BINJAI,,,12,
1277,2020-12-16 00:01:31.846024+00,2020-12-16 00:01:31.846039+00,,0,KOTA PADANGSIDIMPUAN,,,12,
1278,2020-12-16 00:01:31.848567+00,2020-12-16 00:01:31.848582+00,,0,KOTA GUNUNGSITOLI,,,12,
1301,2020-12-16 00:01:31.851112+00,2020-12-16 00:01:31.851127+00,,0,KABUPATEN KEPULAUAN MENTAWAI,,,13,
1302,2020-12-16 00:01:31.853622+00,2020-12-16 00:01:31.853637+00,,0,KABUPATEN PESISIR SELATAN,,,13,
1303,2020-12-16 00:01:31.856159+00,2020-12-16 00:01:31.856172+00,,0,KABUPATEN SOLOK,,,13,
1304,2020-12-16 00:01:31.858786+00,2020-12-16 00:01:31.858801+00,,0,KABUPATEN SIJUNJUNG,,,13,
1305,2020-12-16 00:01:31.861437+00,2020-12-16 00:01:31.861452+00,,0,KABUPATEN TANAH DATAR,,,13,
1306,2020-12-16 00:01:31.864005+00,2020-12-16 00:01:31.86402+00,,0,KABUPATEN PADANG PARIAMAN,,,13,
1307,2020-12-16 00:01:31.866796+00,2020-12-16 00:01:31.86683+00,,0,KABUPATEN AGAM,,,13,
1308,2020-12-16 00:01:31.870294+00,2020-12-16 00:01:31.870327+00,,0,KABUPATEN LIMA PULUH KOTA,,,13,
1309,2020-12-16 00:01:31.873685+00,2020-12-16 00:01:31.873717+00,,0,KABUPATEN PASAMAN,,,13,
1310,2020-12-16 00:01:31.876997+00,2020-12-16 00:01:31.877026+00,,0,KABUPATEN SOLOK SELATAN,,,13,
1311,2020-12-16 00:01:31.880781+00,2020-12-16 00:01:31.88081+00,,0,KABUPATEN DHARMASRAYA,,,13,
1312,2020-12-16 00:01:31.88444+00,2020-12-16 00:01:31.88447+00,,0,KABUPATEN PASAMAN BARAT,,,13,
1371,2020-12-16 00:01:31.887772+00,2020-12-16 00:01:31.887788+00,,0,KOTA PADANG,,,13,
1372,2020-12-16 00:01:31.89047+00,2020-12-16 00:01:31.890485+00,,0,KOTA SOLOK,,,13,
1373,2020-12-16 00:01:31.893173+00,2020-12-16 00:01:31.893188+00,,0,KOTA SAWAH LUNTO,,,13,
1374,2020-12-16 00:01:31.89586+00,2020-12-16 00:01:31.895875+00,,0,KOTA PADANG PANJANG,,,13,
1375,2020-12-16 00:01:31.89851+00,2020-12-16 00:01:31.898525+00,,0,KOTA BUKITTINGGI,,,13,
1376,2020-12-16 00:01:31.901137+00,2020-12-16 00:01:31.901152+00,,0,KOTA PAYAKUMBUH,,,13,
1377,2020-12-16 00:01:31.903767+00,2020-12-16 00:01:31.903782+00,,0,KOTA PARIAMAN,,,13,
1401,2020-12-16 00:01:31.906377+00,2020-12-16 00:01:31.906393+00,,0,KABUPATEN KUANTAN SINGINGI,,,14,
1402,2020-12-16 00:01:31.9091+00,2020-12-16 00:01:31.909116+00,,0,KABUPATEN INDRAGIRI HULU,,,14,
1403,2020-12-16 00:01:31.911766+00,2020-12-16 00:01:31.911782+00,,0,KABUPATEN INDRAGIRI HILIR,,,14,
1404,2020-12-16 00:01:31.914462+00,2020-12-16 00:01:31.914477+00,,0,KABUPATEN PELALAWAN,,,14,
1405,2020-12-16 00:01:31.917163+00,2020-12-16 00:01:31.917178+00,,0,KABUPATEN S I A K,,,14,
1406,2020-12-16 00:01:31.919896+00,2020-12-16 00:01:31.919911+00,,0,KABUPATEN KAMPAR,,,14,
1407,2020-12-16 00:01:31.923322+00,2020-12-16 00:01:31.923337+00,,0,KABUPATEN ROKAN HULU,,,14,
1408,2020-12-16 00:01:31.925939+00,2020-12-16 00:01:31.925954+00,,0,KABUPATEN BENGKALIS,,,14,
1409,2020-12-16 00:01:31.928486+00,2020-12-16 00:01:31.928501+00,,0,KABUPATEN ROKAN HILIR,,,14,
1410,2020-12-16 00:01:31.93103+00,2020-12-16 00:01:31.931045+00,,0,KABUPATEN KEPULAUAN MERANTI,,,14,
1471,2020-12-16 00:01:31.933509+00,2020-12-16 00:01:31.933524+00,,0,KOTA PEKANBARU,,,14,
1473,2020-12-16 00:01:31.936386+00,2020-12-16 00:01:31.936401+00,,0,KOTA D U M A I,,,14,
1501,2020-12-16 00:01:31.93906+00,2020-12-16 00:01:31.939075+00,,0,KABUPATEN KERINCI,,,15,
1502,2020-12-16 00:01:31.94165+00,2020-12-16 00:01:31.941665+00,,0,KABUPATEN MERANGIN,,,15,
1503,2020-12-16 00:01:31.944259+00,2020-12-16 00:01:31.944274+00,,0,KABUPATEN SAROLANGUN,,,15,
1504,2020-12-16 00:01:31.946761+00,2020-12-16 00:01:31.946776+00,,0,KABUPATEN BATANG HARI,,,15,
1505,2020-12-16 00:01:31.949358+00,2020-12-16 00:01:31.949373+00,,0,KABUPATEN MUARO JAMBI,,,15,
1506,2020-12-16 00:01:31.951823+00,2020-12-16 00:01:31.951839+00,,0,KABUPATEN TANJUNG JABUNG TIMUR,,,15,
1507,2020-12-16 00:01:31.954387+00,2020-12-16 00:01:31.954402+00,,0,KABUPATEN TANJUNG JABUNG BARAT,,,15,
1508,2020-12-16 00:01:31.956997+00,2020-12-16 00:01:31.957013+00,,0,KABUPATEN TEBO,,,15,
1509,2020-12-16 00:01:31.959868+00,2020-12-16 00:01:31.959884+00,,0,KABUPATEN BUNGO,,,15,
1571,2020-12-16 00:01:31.962692+00,2020-12-16 00:01:31.962707+00,,0,KOTA JAMBI,,,15,
1572,2020-12-16 00:01:31.965167+00,2020-12-16 00:01:31.965182+00,,0,KOTA SUNGAI PENUH,,,15,
1601,2020-12-16 00:01:31.967691+00,2020-12-16 00:01:31.967705+00,,0,KABUPATEN OGAN KOMERING ULU,,,16,
