1,Kepala Desa
2,Sekretaris Desa
3,Kasi Pemerintahan
4,Kasi Pelayanan dan Kesejahteraan
5,Kaur Keuangan
6,Kaur Umum dan Perencanaan
7,Kepala Dusun Pusat
8,Kepala Dusun Pertamina
9,Kepala Dusun Dungalio
10,Kepala Dusun Kilometer I
